書名,作者,分類,狀態,按讚數,出版社,tag(最多五個),,,,,連結,簡介
獵食者,梧玖,愛情,完結,,,,,,,,,
末世之訓夫有道,美人不美,愛情,完結,,,,,,,,,
王爺的醋罈子又翻了,白嫵,愛情,完結,,,,,,,,,
愛的多重宇宙,多人合集,愛情,完結,,,,,,,,,
天價婚寵：易少情深不悔,言多bi池。,愛情,完結,,,,,,,,,
公主傾城，鬼王要報恩,輕陌,愛情,完結,,,,,,,,,
嚴冬不肅殺,狸沐柔,愛情,完結,,,,,,,,,
灼心摯愛：總裁，別來無恙,橘子可妃,愛情,完結,,,,,,,,,
霍先生，還親嗎？,贈你明珠,愛情,完結,,,,,,,,,
重回八零：獵戶寵妻甜如蜜,宋桃花,愛情,完結,,,,,,,,,
飄洋過海來愛你,瀟冉,愛情,完結,,,,,,,,,
毒后傾天下,聲聲慢－,愛情,完結,,,,,,,,,
盛世雙妃,秋雨後的小蘑菇,愛情,完結,,,,,,,,,
喜嬌娘,孔陽,愛情,完結,,,,,,,,,
特工醫妃，專治腹黑傲嬌帝,月滿棲樓,愛情,完結,,,,,,,,,
婚然心動：契約老公請輕寵,尤醬_,愛情,完結,,,,,,,,,
婚內燃情：撒旦老公請溫柔,水龍卷,愛情,完結,,,,,,,,,
婚婚欲睡：金主大人，來勁了！,小貓愛吃糖,愛情,完結,,,,,,,,,
他說逢愛做戲,火星來的貓,愛情,完結,,,,,,,,,
協議婚約，容夫人不好當,十二釵,愛情,完結,,,,,,,,,
偏偏就想嫁給你,十二玉樓,愛情,完結,,,,,,,,,
嫡女風華,小妖呢喃,愛情,完結,,,,,,,,,
重生嬌妻：寵妻霸總輕點來,小甜甜plus,愛情,完結,,,,,,,,,
末世重生，黑料千金要修仙,小阿祭,愛情,完結,,,,,,,,,
不能愛,色之羊予沁,愛情,完結,,,,,,,,,
重生後將陰鬱老公寵上天,小白菜菜,愛情,完結,,,,,,,,,
你是心上高嶺花,一葉之舟,愛情,完結,,,,,,,,,
反派大佬的心尖寵,一隻仙子,愛情,完結,,,,,,,,,
快穿之炮灰女配是滿級大佬,一芳,愛情,完結,,,,,,,,,
江山若暖，許你情長,一枝寒梅s,愛情,完結,,,,,,,,,
我想偷你的體溫,一朝一暮,愛情,完結,,,,,,,,,
嬌俏醫妃：世子爺，超能撩,二兩清歡,愛情,完結,,,,,,,,,
法老的女兒,書癮少女「灼鴦」,愛情,完結,,,,,,,,,
逆天神妃：魔尊大人撩一下,醉櫻落,愛情,完結,,,,,,,,,
祕戀,尾巴Misa,愛情,完結,,,,,,,,,
流浪愛情,月亮熊,愛情,完結,,,,,,,,,
巫蠱王妃，傾天下,橘子可妃,愛情,完結,,,,,,,,,
時光恰似你，一別再不見,嘎吱兒,愛情,完結,,,,,,,,,
星辰不及你耀眼,蚊小七,愛情,完結,,,,,,,,,
清宮，九玉,若水亭,愛情,完結,,,,,,,,,
綰髮似君心,臧語瞳,愛情,完結,,,,,,,,,
吾向有才，子馭好逑,狐七戒,愛情,完結,,,,,,,,,
愛如初見,糖小卡,愛情,完結,,,,,,,,,
萌寶仵作妃,洛夕,愛情,完結,,,,,,,,,
餘生，寵你入骨,白奶包,愛情,完結,,,,,,,,,
冷王爺的金牌小廚娘,雨沫,愛情,完結,,,,,,,,,
君心獨寵，皇妃不聽話,易輕塵,愛情,完結,,,,,,,,,
林中深處終有意,阮無虞,愛情,完結,,,,,,,,,
腹黑王爺的萌寵小王妃,竹子空心,愛情,完結,,,,,,,,,
流光之境,阿素.,愛情,完結,,,,,,,,,
美人不修緣,銀簽,愛情,完結,,,,,,,,,
若深情不能對等,雲夕雅兮,愛情,完結,,,,,,,,,
王妃嫁到，腹黑王爺請接招,熊雯雯,愛情,完結,,,,,,,,,
餘城涼,蘇杧,愛情,完結,,,,,,,,,
鳳殤情：君本無心,鄭十七,愛情,完結,,,,,,,,,
亂世妖姬,隔壁張大媽,愛情,完結,,,,,,,,,
神君大人：狐妖不是妖,尋花,愛情,完結,,,,,,,,,
在最美的年紀遇見你,公子緋緋,愛情,完結,,,,,,,,,
我曾深情，但不候你,高阿諾,愛情,完結,,,,,,,,,
擁有你，失去你,盡歡,愛情,完結,,,,,,,,,
自此錦書寄流年,不吃趣多多,愛情,完結,,,,,,,,,
引妃入坑，狐狸皇叔第一汙,知玄機,愛情,完結,,,,,,,,,
愛是飲鴆止渴，不死不休,綠籬晚晚,愛情,完結,,,,,,,,,
學長，別跑,希黎,愛情,完結,,,,,,,,,
斬情,長夜,愛情,完結,,,,,,,,,
紅豆生南國,柳十三,愛情,完結,,,,,,,,,
穿越農女俏辣妃,雲夕雅兮,愛情,完結,,,,,,,,,
掌上嬌妻，二婚寵入骨,雪珊瑚,愛情,完結,,,,,,,,,
許個願望叫曾經,曦昔,愛情,完結,,,,,,,,,
光與影,澈漓,愛情,完結,,,,,,,,,
他比星光更薄涼,路星,愛情,完結,,,,,,,,,
快穿攻略：腹黑男神請接招,樰落,愛情,完結,,,,,,,,,
婚約,花末,愛情,完結,,,,,,,,,
兔公主要逃婚,小圓滿,愛情,完結,,,,,,,,,
替身,帶刺地玫瑰,愛情,完結,,,,,,,,,
暴王求妃，娘子有毒,月初,愛情,完結,,,,,,,,,
繭愛,遁逃的魚,愛情,完結,,,,,,,,,
愛情下了雪,愛抹茶的琴姐,愛情,完結,,,,,,,,,
回憶太深，你太遙遠,木向晚,愛情,完結,,,,,,,,,
願你流年不獨歡,夏顏兮雅,愛情,完結,,,,,,,,,
鳳傾城，公主後院又起火,成王千安,愛情,完結,,,,,,,,,
吃定嫡妃，腹黑王爺謀天下,易輕塵,愛情,完結,,,,,,,,,
毒醫娘子：病弱王爺請自重,柳十三,愛情,完結,,,,,,,,,
特工狂妃：腹黑將軍，請接招,蘇晴川,愛情,完結,,,,,,,,,
暮色夜微涼,風煙一渡,愛情,完結,,,,,,,,,
愛你如病入膏肓,歐果,愛情,完結,,,,,,,,,
妖不語,蘇銳,愛情,完結,,,,,,,,,
總裁的私寵寶貝,安小米,愛情,完結,,,,,,,,,
長夜闌珊酒未涼,森林野生小石榴子,愛情,完結,,,,,,,,,
餘生陪你到白頭,自是年少,愛情,完結,,,,,,,,,
妖孽相公,豆丁皇后,愛情,完結,,,,,,,,,
禍亂宮闈，冷王的階下妻,阿悅最帥,愛情,完結,,,,,,,,,
牛家有個大魔王,卉柯,愛情,完結,,,,,,,,,
妾本無良，夫君見諒,程小樹,愛情,完結,,,,,,,,,
入骨婚愛：秦少寵妻如命,貓梓,愛情,完結,,,,,,,,,
我在雨霧裡，等風也等你,瀟冉,愛情,完結,,,,,,,,,
一染慕傾心,貓小北,愛情,完結,,,,,,,,,
愛比死更冷,錦七七,愛情,完結,,,,,,,,,
海深不抵相思半,雞肉捲捲捲,愛情,完結,,,,,,,,,
和顧先生一起墜入愛河,蟬鳴半夏,愛情,完結,,,,,,,,,
一品太子妃：拐個上神做夫君,蘇晴川,愛情,完結,,,,,,,,,
一顆糖的沉淪,麵團包銀圓,愛情,完結,,,,,,,,,
梟寵豪門主母,錦七七,愛情,完結,,,,,,,,,
依戀莫相忘,蘇裳,愛情,完結,,,,,,,,,
故夢,聽說南方,愛情,完結,,,,,,,,,
相愛恨晚時,蘇聽雨,愛情,完結,,,,,,,,,
暴蛇寵妻，搶來的新娘,鏡無影,愛情,完結,,,,,,,,,
安然向晚,錦七七,愛情,完結,,,,,,,,,
山有木兮，我有你,歐果,愛情,完結,,,,,,,,,
王妃是惡霸,琳聽,愛情,完結,,,,,,,,,
大佬你的馬甲又掉了,蕭瑟,愛情,完結,,,,,,,,,
殺手王妃不好惹,燈下細雨,愛情,完結,,,,,,,,,
調戲之道，親親抱抱舉高高,團子喵,愛情,完結,,,,,,,,,
王爺，你家右相又失憶了,鄭十七,愛情,完結,,,,,,,,,
恰似你的溫柔,獨白的小瑪麗,愛情,完結,,,,,,,,,
愛是墳墓裡的再生花,歐果,愛情,完結,,,,,,,,,
遁逃的愛,遁逃的魚,愛情,完結,,,,,,,,,
一幕傾心,蝸牛夢夢,愛情,完結,,,,,,,,,
冷王有妃是二貨,舞落葉,愛情,完結,,,,,,,,,
萌寶推銷：我家爹地9塊9包郵,塗頂,愛情,完結,,,,,,,,,
重生豪門：總裁的名流嬌妻,落花灼,愛情,完結,,,,,,,,,
吾念若初,程小樹,愛情,完結,,,,,,,,,
愛是一顆幸福的子彈,雲上錦書,愛情,完結,,,,,,,,,
農門嬌妻：我家夫人超甜噠,琴倚墨,愛情,完結,,,,,,,,,
醫網情森，跋扈總裁溫柔心,程小樹,愛情,完結,,,,,,,,,
情深噬骨,寧鳶,愛情,完結,,,,,,,,,
緣深緣淺，若如初見,橘子可妃,愛情,完結,,,,,,,,,
今夜情未眠,貓十七,愛情,完結,,,,,,,,,
棄女重生：琉璃世子妃,筱筱,愛情,完結,,,,,,,,,
一遇唐琰誤終身,蒼山月,愛情,完結,,,,,,,,,
那些年，有誰讓你不寂寞,路星,愛情,完結,,,,,,,,,
南風吹過黎明時,路星,愛情,完結,,,,,,,,,
醫妃沖天，皇叔別來無恙,墨玲瓏,愛情,完結,,,,,,,,,
吾情似海，深不見底,劉淡淡。,愛情,完結,,,,,,,,,
教主，你被拐了,若水亭,愛情,完結,,,,,,,,,
二婚嬌妻，總裁要革命,淺夕顏,愛情,完結,,,,,,,,,
寧負天下不負卿,花落餘生,愛情,完結,,,,,,,,,
傾城女相,欣木,愛情,完結,,,,,,,,,
浮生傾盡一世歡,阿悅最帥,愛情,完結,,,,,,,,,
豪門秘寵，陸先生深情難辜負,風落涼,愛情,完結,,,,,,,,,
奈何君心亂,若有魚,愛情,完結,,,,,,,,,
一念念此生,東籬黃昏,愛情,完結,,,,,,,,,
蜜愛百分百：賀少，求你別寵我,桃桃紅柚,愛情,完結,,,,,,,,,
情劫,長夜,愛情,完結,,,,,,,,,
誰都不是你,玲瓏格,愛情,完結,,,,,,,,,
一品毒妃,浣曦,愛情,完結,,,,,,,,,
女人不過三十,星雲,愛情,完結,,,,,,,,,
楠得情深,夜天,愛情,完結,,,,,,,,,
步步驚情，總裁夫人又鬧了,洛千華,愛情,完結,,,,,,,,,
我醉了，你隨意！,玲瓏格,愛情,完結,,,,,,,,,
一城煙雨,斜月簾櫳,愛情,完結,,,,,,,,,
雲端的格桑花,張氏雅歌,愛情,完結,,,,,,,,,
謀妃拒再嫁,枕月,愛情,完結,,,,,,,,,
餘情未暖,青鏡梔子,愛情,完結,,,,,,,,,
一地相思無盡處,景慕輕塵,愛情,完結,,,,,,,,,
芥命,梨花微雕,愛情,完結,,,,,,,,,
夫人，倫家是你的小棉襖,披袖,愛情,完結,,,,,,,,,
久念不忘，終有迴響,鹿何往,愛情,完結,,,,,,,,,
刁妃有喜：冷魅狼王的罪寵,淩美,愛情,完結,,,,,,,,,
穿越之拯救女主行動,常百憶,愛情,完結,,,,,,,,,
只願君心似我心,森林野生小石榴子,愛情,完結,,,,,,,,,
九州密令之山河聘,寒山寺,愛情,完結,,,,,,,,,
愛你如癮難言,笑莫纖然,愛情,完結,,,,,,,,,
亂世王妃,寒錦,愛情,完結,,,,,,,,,
王妃耍心機,琳聽,愛情,完結,,,,,,,,,
王爺，你就從了我吧,喵喵cat,愛情,完結,,,,,,,,,
正夫綱，王后在上,洛華,愛情,完結,,,,,,,,,
冥婚邪愛寵上天,兔姑姑,愛情,完結,,,,,,,,,
若是情深，怎會緣淺,景井,愛情,完結,,,,,,,,,
誰念西風獨自涼,依念,愛情,完結,,,,,,,,,
禁寵,周小七,愛情,完結,,,,,,,,,
億萬新娘：只想寵著你,其實一直不懂愛,愛情,完結,,,,,,,,,
狂妃傾城，主上別撩我,居隱,愛情,完結,,,,,,,,,
一顧南言,夜闌無星,愛情,完結,,,,,,,,,
懸愛,盛秋,愛情,完結,,,,,,,,,
醜女涅槃：毒仙歸來,淺暖星一,愛情,完結,,,,,,,,,
宮鎖凰,鹿溫久,愛情,完結,,,,,,,,,
容教授，你媳婦跑了,若水亭,愛情,完結,,,,,,,,,
愛,斜月簾櫳,愛情,完結,,,,,,,,,
絕色王爺求不約,堅強的小榴槤,愛情,完結,,,,,,,,,
今朝落雪待歸人,眠卿,愛情,完結,,,,,,,,,
撩人皇后，帥哥溫柔點兒,琉璃暖,愛情,完結,,,,,,,,,
重生之絕世寵妃,南山悠然,愛情,完結,,,,,,,,,
不負如來終負你,若夏白,愛情,完結,,,,,,,,,
囚婚,安涼,愛情,完結,,,,,,,,,
囚愛擒歡：總裁先生輕輕親,月橋禾安,愛情,完結,,,,,,,,,
摟住殿下小蠻腰,木須肉,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/832,"厲凝凝覺得自己八字犯沖，穿到原主身上也就罷了，這個原主特麼居然會占卜！
你丫占卜別的什麼不好？非要占卜到她會死全家？

殺她全家也就算了，可預言這男人長得太好看，讓本郡主捨不得下手就是你丫的錯了。
什麼，你你你你丫就是那個所到之處哀鴻遍野的永順王，嚴璟良？
哼，管你是天王老子還是玉皇大帝。拿下，統統拿下！

艾瑪，可惜厲凝凝段數不高，被醜拒了……
這能忍？虧她還號稱自個兒人見人愛，花見花開呢。
嚶嚶嚶……若是收服不了嚴璟良這個小妖精，她厲字倒著寫！
你嚴璟良淑人君子，才高八斗？好，本郡主送你名門書帖，詩詞字畫。"
快穿之病毒大人你站住,小竹燈,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/825,"【甜寵。男女主身心乾淨爽文】
她本冷心冷情，遇上了他化為一江春水。
他本遵循命運，生生世世。遇了她寧願永生追隨。
華蓮為了拯救陷入虛擬的人類，穿梭在個個的世界成為女配，可女配有女配的活法。
被吊打，被陷害，身世淒苦，結局悲慘。
怎麼可能？

看華蓮上打女主，下踹男主，中間還能收穫萌萌噠的小夫君。
他生於虛擬，死於虛擬。
他是凌駕虛擬之上的神，本已經固定的命運因為她的到來而打破。"
他曾愛過我,百谷蓁蓁,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/819,"哪對夫妻沒有想過離婚？
為了孩子，我對喬懿一而再再而三無底線地容忍。
直到那天他帶著女人出現在我面前，這段五年的婚姻，終於崩潰。
我永遠記得那天他瞇眸吸煙深情的對我說，「俞念，你的驕傲，我給，你的前夫，我收拾，我只有一個條件，你——歸我。」"
戰火王妃：王爺莫要撩戰袍,小月彎彎,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/812,"魂入異世，她不再是前世無情無愛的殺手，她是他的臠寵凌清歌。
她白日為他兵馬天下，晚上為他承歡膝下，她送他半壁江山，他將她發配邊關。
失去，是為了得到，滅亡，是為了重生！

當她站在鄰國國君的婚禮上，淺笑嫣然，他卻驀地握住她的手，雙眸猩紅，「你敢嫁旁人？」
她嗓音淡雅，「你是誰？」"
太傅嫁到,亦何,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/797,"顧安然不知道自己竟然這麼點背，登個山拍張照都能被人擠下去。
本以為自己必死無疑，結果掉個崖掉了半天沒著地，好不容易落了地了竟然落在了一個小美人身上，嘖嘖，這小美人，嘿嘿……
本來跟小美人好好地過著進京趕考的小日子，卻不料如此呆萌的小書生竟然有人追殺，關鍵是，還中了招。
無奈，藥材只有皇宮有，一沒武功二沒靠山，只得靠腦子。背上包袱，換上衣服，她顧安然終究是躲不過天殺的中式教育，再一次開起了寒窗苦讀，進京趕考（高考）的路子。
至於之後為什麼會變成太子的老師就不要深究了，只是：「皇上，請您自重。」
某皇帝繼續吃著豆腐，淡淡地一挑眉：「太傅大人，最近太子的功課怎麼……」"
雲城晚來歌,八月十七,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/787,"「大哥，你你你要幹嘛……」女孩縮在牆角，小身板顫的如篩子。
「說過多少次，你我沒血緣關係，你這小腦袋瓜怎麼就記不住呢？嗯？」男人挑起女孩的下巴，笑意危險。
「叫了八年，習習慣了……」
「這是壞習慣，得改，以後叫老公！」
「哦哦……」
「叫聲來聽聽？」
「老……公公……唔唔……」
男人忽傾身而下，堵住了她，教訓道：「小笨蛋，……」"
十方劫,永畫,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/781,"十丈軟紅裡的情愫，她從未纏綿過，也未曾想過。
於是她立身雲巔，於是她冷眼相看。
當看盡離合輾轉，她突然於冷暖中動情，原來世間竟有繁花如此。
但是，未曾想過，那一片繁花相接處，卻是彼岸花開正爛漫。"
煞妃出沒，國師太難纏,妖妖,愛情,完結,0,吾里文化,BG愛情,,,,,https://mojoin.com/novels/780,"穿越成孤兒，鳳十五混吃混喝，日子過的很舒坦，直到被人綁走，下毒！刺殺！落涯……
好不容易撿回一條小命的鳳十五，誓死要遠離這個男人！
跑路被抓，「大爺，您老到底看上我哪點，我改還不成嗎……」欲哭無淚。
君千夜淡然一笑，拎起丟進馬車。
逃跑未果，鳳十五轉移戰場，跑不掉我煩死你！"
